Stock,Weight,Name
AAPL,0.5,Apple Inc
BAC,0.09,Bank of America Corp
AXP,0.07,American Express Co
KO,0.07,Coca-Cola Co
CVX,0.06,Chevron Corp
OXY,0.05,Occidental Petroleum Corp
KHC,0.04,The Kraft Heinz Co
MCO,0.02,Moody's Corporation
DVA,0.01,DaVita Inc
HPQ,0.01,HP Inc
VRSN,0.01,VeriSign Inc
C,0.01,Citigroup Inc
KR,0.01,The Kroger Co
V,0.01,Visa Inc
CHTR,0.01,Charter Communications Inc
MA,0.01,Mastercard Inc
AON,0,Aon PLC
AMZN,0,Amazon.com Inc
COF,0,Capital One Financial Corp
PARA,0,Paramount Global
LSXMK,0,Liberty SiriusXM Group
SNOW,0,Snowflake Inc
ALLY,0,Ally Financial Inc
NU,0,Nu Holdings Ltd
TMUS,0,T-Mobile US Inc
DHI,0,D.R. Horton Inc
