Stock,Weight,Name
META,0.12,MetaPlatformsIncClassA
NFLX,0.14,NetflixInc
DIS,0.07,WaltDisneyCompany(The)
TTWO,0.05,Take-TwoInteractiveSoftwareInc
EA,0.06,ElectronicArtsInc
RBLX,0.03,RobloxCorporationClassA
ROKU,0.03,RokuIncClassA
MTCH,0.02,MatchGroupInc
TRIP,0.02,TripAdvisorInc
SNAP,0.02,SnapIncClassA
BMBL,0.02,BumbleIncClassA
GRND,0.02,GarminLtd(Switzerland)
RUM,0.01,RubiusTherapeuticsInc
FUBO,0.01,fuboTVInc
AMZN,0.10,AmazoncomInc
ETSY,0.01,EtsyInc
MSFT,0.09,MicrosoftCorporation
ABNB,0.02,AirbnbIncClassA
BKNG,0.02,BookingHoldingsInc
EXPE,0.01,ExpediaGroupInc
HLIT,0.02,HarmonicInc
