Stock,Weight,Name
BABA,0.06,Alibaba Group 
JD,0.06,JDcom ADR
HCA,0.06,HCA Healthcare
ORCL,0.06,Oracle Corporation
C,0.05,Citi
CVS,0.05,CVS Health Corporation
NXST,0.05,Nexstar Media
GOOGL,0.05,Alphabet
SBLK,0.05,Star Bulk Carriers
AMZN,0.05,Amazon
MGM,0.05,MGM Resorts
BKNG,0.05,Booking Holdings
AAP,0.05,Advance Auto Parts
SQ,0.04,Block Class A
BRKR,0.04,Bruker Corporation
TOST,0.04,Toast Class A
MTD,0.03,Mettler-Toledo International
BIG,0.02,Big Lots
REAL,0.01,The RealReal
SB,0.01,Safe Bulkers 
QRTEA,0.01,Qurate Retail Series A 
