Stock,Weight,Name,,
COIN,0.1,Coinbase Global  ,,
MA,0.08,Mastercard orporated,,
V,0.07,Visa ,,
HOOD,0.06,Robinhood Markets  ,,
AXP,0.04,American Express Company,,
ICE,0.04,Intercontinental Exchange ,,
PYPL,0.03,PayPal Holdings ,,
XYZ,0.03,Block  ,,
BK,0.02,The Bank of New York Mellon ,,
COF,0.02,Capital One Financial ,,
WT,0.02,Wayside Technology Group ,,
CBOE,0.02,Cboe Global Markets ,,
MARA,0.08,Marathon Digital Holdings ,,
BITF,0.05,Bitfarms Ltd,,
MSTR,0.04,MicroStrategy orporated ,,
CIFR,0.04,Cipher Mining ,,
RIOT,0.03,Riot Blockchain   ,,
HUT,0.02,Hut 8 Mining Corp,,
AKAM,0.02,Akamai Technologies ,,Amazon Inc
LPSN,0.01,LivePerson ,,
SNOW,0.09,Snowflake,,
BABA,0.04,Alibaba ,,
MELI,0.03,MercadoLibre ,,
CAN,0.02,Canaan,,
FNKO,0.01,Funko  ,,
