Stock,Weight,Name
CRWD,0.11,CrowdStrike Holdings Inc Class A
FTNT,0.11,Fortinet Inc
PANW,0.10,Palo Alto Networks Inc
AVGO,0.09,Broadcom Inc
ZS,0.07,Zscaler Inc
IBM,0.06,International Business Machines Corporation
S,0.06,SentinelOne Inc Class A
CHKP,0.05,Check Point Software Technologies Ltd Ordinary Shares
CYBR,0.04,CyberArk Software Ltd Ordinary Shares
OKTA,0.04,Okta Inc Class A
NET,0.03,Cloudflare Inc Class A
RPD,0.03,Rapid7 Inc
TENB,0.03,Tenable Holdings Inc
GEN,0.03,Genesis Energy LP Common Units
QLYS,0.02,Qualys Inc
JAMF,0.02,Jamf Holding Corp
VRNS,0.02,Varonis Systems Inc
NTCT,0.02,NetScout Systems Inc
RDWR,0.02,Radware Ltd Ordinary Shares
BAH,0.02,Booz Allen Hamilton Holding Corporation
PSN,0.02,Parsons Corporation
BB,0.01,BlackBerry Limited
OSPN,0.01,OneSpan Inc
FSLY,0.01,Fastly Inc Class A
ATEN,0.01,A10 Networks Inc
