Symbol,Name,Sector,Industry,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,$,Delisted
AA,Alcoa Corporation ,Basic Industries,Metal Fabrications,,,,,,,,False
AAC,Ares Acquisition Corporation Class A Ordinary Shares,Finance,Business Services,,,,,,,,False
AACG,ATA Creativity Global American Depositary Shares,Miscellaneous,Service to the Health Industry,,,,,,,,False
AACI,Armada Acquisition Corp I, Acquisition, Acquisition,,,,,,,,False
AACIU,Armada Acquisition Corp I Unit, Acquisition, Acquisition,,,,,,,,False
AADI,Aadi Bioscience,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,False
AAIC,Arlington Asset Investment Corp Class A (new),Consumer Services,Real Estate Investment Trusts,,,,,,,,False
AAIN,Arlington Asset Investment Corp 6000% Senior Notes Due 2026, Acquisition, Acquisition,,,,,,,,False
AAL,American Airlines Group,Transportation,Air Freight/Delivery Services,,,,,,,,False
AAME,Atlantic American Corporation,Finance,Life Insurance,,,,,,,,False
AAN,Aarons Holdings Company ,Miscellaneous,Diversified Commercial Services,,,,,,,,False
AAOI,Applied Optoelectronics,Technology,Semiconductors,,,,,,,,False
AAON,AAON,Capital Goods,Industrial Machinery/Components,,,,,,,,False
AAP,Advance Auto Parts,Consumer Services,Other Specialty Stores,,,,,,,,False
AAPL,Apple,Technology,Computer Manufacturing,,,,,,,,False
AAQC,Accelerate Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,,False
AAT,American Assets Trust,Consumer Services,Real Estate Investment Trusts,,,,,,,,False
AATC,Autoscope Technologies Corporation,Capital Goods,Industrial Machinery/Components,,,,,,,,False
AAU,Almaden Minerals Ltd Common Shares, Acquisition, Acquisition,,,,,,,,False
AAWW,Atlas Air Worldwide Holdings NEW,Transportation,Transportation Services,,,,,,,,False
AB,AllianceBernstein Holding LP  Units,Finance,Investment Managers,,,,,,,,False
ABB,ABB Ltd,Consumer Durables,Electrical Products,,,,,,,,False
ABBV,AbbVie,Health Care,Other Pharmaceuticals,,,,,,,,False
ABC,AmerisourceBergen Corporation,Health Care,Other Pharmaceuticals,,,,,,,,False
ABCB,Ameris Bancorp,Finance,Major Banks,,,,,,,,False
ABCL,AbCellera Biologics Common Shares, Acquisition, Acquisition,,,,,,,,False
ABCM,Abcam plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,False
ABEO,Abeona Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,False
ABEV,Ambev SA American Depositary Shares (Each representing 1 Common Share),Consumer Non-Durables,Beverages (Production/Distribution),,,,,,,,False
ABG,Asbury Automotive Group,Consumer Services,Other Specialty Stores,,,,,,,,False
ABGI,ABG Acquisition Corp I Class A Ordinary Shares,Finance,Business Services,,,,,,,,False
ABIO,ARCA biopharma,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,,,,False
ABM,ABM Industriesorporated,Technology,Diversified Commercial Services,,,,,,,,False
ABMD,ABIOMED,Health Care,Medical/Dental Instruments,,,,,,,,False
ABNB,Airbnb Class A,Transportation,Other Consumer Services,,,,,,,,False
ABOS,Acumen Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,False
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,,,,,,,,False
ABSI,Absci Corporation,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,False
ABST,Absolute Software Corporation, Acquisition, Acquisition,,,,,,,,False
ABT,Abbott Laboratories,Health Care,Medical/Dental Instruments,,,,,,,,False
ABTX,Allegiance Bancshares,Finance,Major Banks,,,,,,,,False
ABUS,Arbutus Biopharma Corporation, Acquisition, Acquisition,,,,,,,,False
ABVC,ABVC BioPharma,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,False
AC,Associated Capital Group,Finance,Investment Bankers/Brokers/Service,,,,,,,,False
ACA,Arcosa ,Capital Goods,Engineering & Construction,,,,,,,,False
ACABU,Atlantic Coastal Acquisition Corp II Unit, Acquisition, Acquisition,,,,,,,,False
ACAD,ACADIA Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,False
ACAH,Atlantic Coastal Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,,False
ACAHU,Atlantic Coastal Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,,False
ACAQ,Athena Consumer Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,,False
ACB,Aurora Cannabis Common Shares, Acquisition, Acquisition,,,,,,,,False
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Finance,Business Services,,,,,,,,False
ACC,American Campus Communities,Consumer Services,Real Estate Investment Trusts,,,,,,,,False
ACCD,Accolade, Acquisition, Acquisition,,,,,,,,False
ACCO,Acco Brands Corporation,Consumer Services,Advertising,,,,,,,,False
ACDI,Ascendant Digital Acquisition Corp III Class A Ordinary Shares, Acquisition, Acquisition,,,,,,,,False
ACEL,Accel Entertainment ,Consumer Services,Recreational Products/Toys,,,,,,,,False
ACER,Acer Therapeutics (DE),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,False
ACET,Adicet Bio ,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,False
ACEV,ACE Convergence Acquisition Corp Class A Ordinary Shares,Technology,Semiconductors,,,,,,,,False
ACEVU,ACE Convergence Acquisition Corp Unit,Technology,Semiconductors,,,,,,,,False
ACGL,Arch Capital Group Ltd,Finance,Property-Casualty Insurers,,,,,,,,False
ACGLN,Arch Capital Group Ltd Depositary Shares each Representing a 1/1000th Interest in a 4550% Non-Cumulative Preferred Share Series G,Finance,Property-Casualty Insurers,,,,,,,,False
ACGLO,Arch Capital Group Ltd Depositary Shares Each Representing 1/1000th Interest in a Share of 545% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers,,,,,,,,False
ACH,Aluminum Corporation of China Limited American Depositary Shares,Basic Industries,Aluminum,,,,,,,,False
ACHC,Acadia Healthcare Company,Health Care,Hospital/Nursing Management,,,,,,,,False
ACHL,Achilles Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,False
ACHR,Archer Aviation Class A,Capital Goods,Aerospace,,,,,,,,False
ACHV,Achieve Life Sciences Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,,,,False
ACI,Albertsons Companies Class A,Consumer Services,Food Chains,,,,,,,,False
ACII,Atlas Crest Investment Corp II Class A, Acquisition, Acquisition,,,,,,,,False
ACIU,AC Immune SA,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,False
ACIW,ACI Worldwide,Technology,EDP Services,,,,,,,,False
ACKIT,Ackrell SPAC Partners I Co Subunits, Acquisition, Acquisition,,,,,,,,False
ACKIU,Ackrell SPAC Partners I Co Units, Acquisition, Acquisition,,,,,,,,False
ACLS,Axcelis Technologies,Technology,Industrial Machinery/Components,,,,,,,,False
ACM,AECOM,Consumer Services,Military/Government/Technical,,,,,,,,False
ACMR,ACM Research Class A,Technology,Industrial Machinery/Components,,,,,,,,False
