Stock,Weight,Name
ASML,0.12,ASMLHoldingNVNewYorkRegistryShares
QCOM,0.1,QUALCOMMIncorporated
AAPL,0.08,AppleInc
AVGO,0.06,BroadcomInc
MU,0.03,MicronTechnologyInc
LOGI,0.03,LogitechInternationalSAOrdinaryShares
WDC,0.02,WesternDigitalCorporation
HIMX,0.02,HimaxTechnologiesIncAmericanDepositaryShares
CEVA,0.01,CEVAInc
CRUS,0.01,CirrusLogicInc
OLED,0.01,UniversalDisplayCorporation
LITE,0.01,LumentumHoldingsInc
MX,0,MagnachipSemiconductorCorporation
MDT,0.07,MedtronicplcOrdinaryShares
ABT,0.05,AbbottLaboratories
DXCM,0.05,DexComInc
PEN,0.02,PenumbraInc
MASI,0.02,MasimoCorporation
IRTC,0.01,iRhythmTechnologiesInc
TNDM,0.01,TandemDiabetesCareInc
RDNT,0.01,RadNetInc
META,0.13,MetaPlatformsIncClassA
GOOGL,0.09,AlphabetIncClassA
GRMN,0.04,GarminLtd(Switzerland)
