Stock,Weight,Name
DHI, 0.09 ,DR Horton Inc
LEN, 0.07 ,Lennar Corporation Class A
PHM, 0.07 ,PulteGroup Inc
NVR, 0.06 ,NVR Inc
TMHC, 0.06 ,Taylor Morrison Home Corporation
DFH, 0.05 ,Dream Finders Homes Inc Class A
HOV, 0.04 ,Hovnanian Enterprises Inc Class A
MHO, 0.04 ,M/I Homes Inc
KBH, 0.04 ,KB Home
TPH, 0.04 ,Tri Pointe Homes Inc
MTH, 0.04 ,Meritage Homes Corporation
GRBK, 0.03 ,Green Brick Partners Inc
CVCO, 0.03 ,Cavco Industries Inc When Issued
CCS, 0.03 ,Century Communities Inc
LGIH, 0.02 ,LGI Homes Inc
BZH, 0.02 ,Beazer Homes USA Inc
LSEA, 0.02 ,Landsea Homes Corporation
Z, 0.05 ,Zillow Group Inc Class C Capital Stock
OPEN, 0.04 ,Opendoor Technologies Inc
HOUS, 0.03 ,Hour Loop Inc
COMP, 0.03 ,Compass Inc Class A
EXPI, 0.03 ,eXp World Holdings Inc
RDN, 0.03 ,Radian Group Inc
STC, 0.03 ,Stewart Information Services Corporation
BCC, 0.03 ,Boise Cascade LLC
